Banker_50,Bomb,Dictator,Investor,Proposer,Public_Goods,Responder
0,60,1,100,40,8,1
50,66,1,100,40,10,1
0,69,1,100,40,8,1
50,68,1,100,40,8,1
0,60,1,100,40,10,1
0,49,1,100,40,8,1
50,74,1,75,40,8,1
50,67,1,100,40,8,1
50,37,1,100,40,8,1
50,25,1,75,40,8,1
50,67,1,100,40,10,1
0,37,1,100,40,8,1
0,37,1,100,40,8,1
0,63,1,100,40,8,1
0,67,1,100,40,10,1
0,37,1,100,40,8,1
0,63,0,90,40,10,1
0,68,0,100,40,8,1
0,67,1,100,40,10,1
0,63,1,100,40,10,50
0,63,0,100,40,10,49
0,66,1,100,40,12,40
0,63,0,100,40,8,50
0,25,1,100,40,8,40
0,69,1,100,40,8,40
0,63,1,100,40,8,50
0,60,1,50,50,8,49
0,67,1,100,40,8,40
0,67,0,100,40,8,40
0,67,0,100,40,10,40
0,63,1,100,40,10,40
0,63,1,100,40,10,45
0,60,1,100,40,8,40
0,67,0,100,40,8,40
0,60,1,100,40,8,40
0,69,1,100,40,8,40
0,63,1,100,40,10,50
0,68,1,100,40,8,40
0,75,1,100,40,8,40
0,63,1,100,40,8,40
0,63,0,50,40,8,40
0,63,1,100,40,8,40
0,63,1,100,40,8,30
0,64,1,100,40,10,40
0,68,0,100,40,10,40
0,63,1,100,40,10,30
0,63,1,100,40,10,30
0,60,20,100,40,10,40
0,37,20,100,40,8,40
0,63,30,100,40,8,40
0,60,20,100,40,8,40
0,67,20,100,50,8,40
0,67,20,100,40,8,40
0,25,30,100,40,10,40
0,10,25,100,40,8,30
0,62,20,100,40,8,40
0,67,30,50,40,8,30
0,37,20,100,40,10,40
0,75,20,100,40,8,40
0,67,20,100,40,10,40
0,60,20,100,40,10,40
0,69,20,100,40,8,30
0,67,20,100,40,8,30
0,63,30,100,40,8,30
0,60,20,100,40,8,30
0,68,20,100,50,8,40
0,60,20,100,40,8,40
0,67,20,100,40,8,40
0,37,30,90,40,8,30
0,75,20,100,40,8,40
0,37,30,100,40,8,40
0,62,20,80,40,8,40
0,63,20,100,40,8,40
0,63,20,90,40,8,30
0,75,20,100,40,8,30
0,37,20,100,40,8,40
0,75,20,100,40,8,40
0,74,20,75,40,10,40
0,67,20,100,40,10,30
0,63,20,80,40,8,40
0,67,20,100,40,8,30
0,74,20,50,40,8,40
0,67,20,100,40,10,40
0,67,20,100,40,10,30
0,60,20,100,40,8,40
0,37,20,100,40,10,30
0,67,20,100,40,10,40
0,63,20,100,40,8,40
0,62,20,100,40,8,30
0,60,30,100,40,8,40
0,60,20,100,40,8,30
0,68,20,100,40,8,40
0,69,20,100,40,8,40
0,63,30,100,40,8,40
0,37,20,50,40,10,40
0,62,20,100,45,8,40
0,63,20,90,40,8,40
0,63,20,100,40,8,40
0,63,20,100,40,8,40
0,63,20,90,40,8,40
0,75,20,100,40,8,40
0,63,30,80,40,8,40
0,62,30,100,40,8,40
0,64,20,100,40,10,40
0,63,20,100,40,8,40
0,62,20,100,40,8,40
0,75,20,100,40,10,40
0,67,20,100,40,8,40
0,67,20,100,40,8,40
0,63,20,100,40,10,30
0,67,20,100,40,8,30
0,67,20,100,40,8,40
0,37,25,90,40,8,40
0,37,20,100,40,10,40
0,60,20,100,40,10,40
0,60,20,100,40,8,30
0,63,20,50,40,10,40
0,69,15,100,40,10,30
0,66,25,100,40,8,30
0,37,20,100,40,8,30
0,67,20,100,40,10,40
0,63,20,90,40,10,40
0,60,20,100,40,10,40
0,69,20,100,40,8,40
0,63,20,100,40,8,30
0,69,20,50,50,8,40
0,60,20,100,40,10,40
0,70,20,100,40,8,40
0,67,20,100,40,10,40
0,69,20,100,40,10,30
0,69,20,100,40,10,40
0,63,50,50,40,8,40
0,63,50,100,40,8,40
0,37,50,100,40,8,45
0,80,50,100,40,8,50
0,66,50,100,40,8,49
0,62,50,50,40,8,40
0,66,50,100,50,8,40
0,60,50,100,40,10,40
0,37,50,100,50,8,40
0,67,50,100,40,10,40
0,69,50,100,50,8,40
0,67,50,90,50,8,40
0,60,50,100,40,8,40
0,75,50,100,40,8,40
0,62,50,100,40,8,49
0,63,50,90,40,8,40
0,37,50,100,40,8,40
0,60,50,100,40,8,40
0,62,50,100,40,8,40
0,62,50,50,40,10,40
0,67,50,100,40,8,40
0,63,50,100,60,10,50
0,69,50,100,40,10,40
0,49,50,100,50,10,50
0,75,50,90,40,10,40
0,37,50,100,40,8,40
0,75,50,100,50,8,40
0,49,50,100,40,10,40
0,68,50,100,50,8,40
0,63,50,100,40,8,50
0,69,50,100,40,10,40
0,68,50,100,40,8,40
0,75,50,100,40,8,40
0,63,50,100,40,10,40
0,63,50,50,40,8,40
0,60,50,50,40,10,40
0,68,50,50,40,8,40
0,37,50,60,40,8,50
0,63,50,50,40,10,40
0,66,50,50,40,8,49
0,69,50,50,40,10,50
0,67,50,50,40,8,40
0,49,50,60,40,10,49
0,37,50,50,50,8,40
0,50,50,50,40,10,40
0,49,50,50,50,10,40
0,50,50,60,40,8,40
0,49,50,50,40,8,40
0,50,50,50,40,12,49
0,63,50,50,40,10,40
0,50,50,50,40,10,40
0,50,50,50,40,8,40
0,50,50,50,40,8,40
0,50,50,50,40,10,40
0,50,50,50,40,10,40
0,50,50,50,40,8,40
0,67,50,55,40,8,50
0,49,50,50,40,8,50
0,50,50,55,40,8,50
0,37,50,50,40,8,50
0,37,50,50,40,10,50
0,50,50,50,40,8,50
0,50,50,50,40,12,49
0,63,50,50,40,8,40
0,49,50,50,40,8,50
0,50,50,50,40,8,60
0,50,50,50,40,8,49
0,67,50,50,40,8,40
0,37,50,50,40,8,49
0,50,50,50,40,8,49
0,69,50,50,40,10,40
0,50,50,50,40,8,60
0,25,50,50,40,8,50
0,50,50,50,40,10,50
0,60,50,50,40,8,40
0,50,50,50,40,10,49
0,50,50,50,40,8,49
0,49,50,50,40,12,49
0,50,50,50,40,10,49
0,50,50,50,40,8,40
0,63,50,10,40,10,40
0,67,50,10,40,8,60
50,50,50,10,40,8,49
0,50,50,10,40,12,49
0,49,50,10,40,10,49
0,49,50,20,40,8,49
0,25,50,20,40,8,50
0,50,50,20,40,8,40
0,25,50,20,40,8,40
0,50,50,20,40,8,60
0,63,50,10,40,10,50
0,63,50,20,40,8,1
0,50,50,10,45,8,1
0,37,50,20,40,20,1
0,49,50,20,40,20,1
0,49,50,10,40,20,1
0,63,50,20,40,20,1
0,63,50,10,40,20,1
0,50,50,20,40,20,1
0,50,50,20,40,20,1
0,63,50,10,40,20,1
0,49,50,10,40,20,1
0,10,50,20,40,20,1
60,37,50,20,45,20,1
60,63,50,20,40,20,1
60,50,50,10,45,18,1
60,37,50,10,40,20,1
60,49,50,20,40,20,1
60,50,50,10,45,20,1
60,63,50,10,40,20,1
60,50,50,20,40,20,1
60,50,50,20,40,20,1
51,49,50,20,40,20,1
60,50,50,10,40,20,1
60,50,50,20,45,20,1
60,36,50,10,40,20,1
75,49,50,10,40,20,1
60,63,50,10,40,20,1
51,37,50,20,40,20,1
60,50,50,20,60,20,1
60,50,50,20,40,20,1
60,49,50,10,40,20,1
60,63,50,20,40,20,1
75,63,50,20,45,20,1
51,69,50,20,45,20,1
60,50,50,20,40,20,1
60,49,50,10,35,20,1
51,37,50,20,35,20,1
60,49,50,20,35,20,1
60,50,50,10,35,20,1
60,50,50,20,33,20,1
60,49,50,10,34,20,1
60,50,50,10,35,20,1
60,50,50,20,33,20,1
60,67,50,10,33,20,1
60,49,50,20,35,20,1
60,50,50,20,35,20,1
60,10,50,20,34,20,1
60,50,50,10,40,20,1
60,25,50,20,35,15,1
60,63,50,10,33,15,1
60,50,50,20,35,20,1
60,36,50,20,33,20,1
60,37,50,10,34,20,1
60,49,50,20,33,20,1
75,50,50,20,35,20,1
51,50,50,10,33,20,1
51,50,50,20,38,20,1
60,37,50,20,34,20,1
60,63,50,1,35,20,1
51,50,50,1,35,20,1
60,49,50,10,34,20,1
60,37,50,5,35,20,1
51,50,50,10,34,20,1
60,0,50,10,35,20,1
60,0,50,1,35,20,1
60,0,50,10,33,20,1
60,0,50,10,33,20,1
60,0,50,5,35,20,1
60,0,50,1,33,20,1
60,0,50,20,1,20,1
60,1,50,20,0,20,1
60,0,50,20,1,20,1
60,0,50,20,1,20,1
60,0,50,30,0,20,1
75,0,50,30,1,20,1
60,1,50,20,1,20,1
60,0,50,20,1,20,1
60,0,50,20,1,20,1
60,0,50,20,1,20,1
51,0,50,20,1,20,60
60,0,50,30,1,20,60
60,1,1,30,0,20,60
60,0,1,30,1,20,60
60,0,1,20,1,20,60
51,0,1,33,1,20,40
60,0,1,20,1,20,40
60,0,1,20,0,20,50
60,0,1,20,0,20,60
60,0,2,20,1,20,40
60,1,2,33,1,20,60
60,0,1,30,0,20,40
60,0,1,30,1,15,60
51,0,1,30,1,20,60
60,0,2,30,1,20,60
60,1,1,30,0,20,60
60,0,5,30,1,20,40
60,0,1,20,1,20,50
75,1,1,33,1,20,40
60,0,1,30,0,20,60
60,1,1,30,1,20,60
60,0,2,30,1,20,55
60,0,5,30,1,20,60
51,0,2,20,1,20,50
51,0,1,30,1,20,60
60,0,5,20,1,20,60
60,0,1,30,0,20,40
51,0,1,30,1,20,60
60,0,1,30,0,20,60
60,0,1,20,1,20,60
51,0,1,20,1,15,60
60,1,1,30,0,20,60
60,1,1,20,1,20,60
60,0,5,20,1,20,60
60,0,1,20,1,20,40
60,0,1,20,0,20,60
60,0,2,20,1,20,60
60,0,1,20,0,20,60
60,0,1,20,1,20,40
60,0,1,20,1,20,30
60,1,1,20,1,20,40
60,1,1,30,1,20,50
60,0,1,20,0,20,50
60,0,1,20,0,20,50
60,0,1,30,1,20,50
60,0,1,30,30,20,50
60,0,1,30,18,20,50
60,0,5,20,20,20,50
60,0,5,20,20,20,50
60,0,1,30,20,20,50
60,0,1,20,19,20,50
60,1,1,20,10,20,50
60,0,1,20,20,20,50
60,0,1,30,30,20,50
60,0,1,30,20,20,50
60,0,1,30,30,20,50
60,0,1,30,20,20,50
60,0,1,20,30,20,49
75,0,1,30,1,20,50
51,1,1,30,20,20,50
60,0,1,30,20,20,50
51,1,1,30,30,20,50
51,0,1,20,30,20,50
51,0,1,20,10,20,50
60,0,1,20,20,20,40
60,0,1,30,18,20,40
51,0,5,20,20,20,50
60,0,2,20,20,20,40
60,0,1,33,20,20,50
51,0,2,20,20,20,50
60,0,1,20,20,20,50
60,0,2,20,18,20,50
51,0,2,30,18,15,49
51,0,1,30,10,20,50
60,0,5,30,20,20,45
60,0,5,20,19,20,49
60,1,5,20,20,20,50
60,0,1,30,1,20,50
60,0,1,30,20,20,49
60,49,2,30,1,20,50
51,50,1,20,19,20,49
60,50,1,20,20,20,50
60,63,1,30,19,20,50
100,50,2,30,20,20,50
90,45,1,20,30,20,49
100,50,1,30,18,20,50
120,63,1,20,19,20,40
120,50,1,20,1,20,50
120,50,1,33,30,20,50
100,63,5,20,20,20,45
100,75,1,20,19,20,50
90,49,1,30,20,20,50
90,50,2,20,20,20,50
100,49,1,20,20,20,50
100,49,1,33,18,20,50
100,50,1,33,40,20,50
100,37,1,20,40,20,50
100,25,1,30,40,20,60
100,63,1,30,30,20,60
90,50,1,20,30,20,40
100,25,5,20,30,20,51
100,60,1,30,30,20,60
120,63,1,30,30,20,60
100,70,10,20,40,20,50
100,49,1,20,30,15,49
100,50,1,20,30,20,60
90,50,1,50,40,20,60
90,50,1,75,30,20,60
120,63,1,80,30,20,60
100,63,35,80,30,20,40
100,60,35,80,40,20,60
100,63,35,50,40,5,49
90,37,33,80,30,5,60
90,50,35,80,30,5,40
100,63,34,80,30,4,60
120,25,33,90,40,4,60
100,49,35,90,40,6,60
100,63,34,70,30,4,60
100,49,35,90,40,4,60
100,37,35,80,30,4,40
100,25,33,80,40,5,51
100,50,33,80,30,5,50
100,49,33,60,40,4,40
100,50,35,80,40,4,60
100,50,35,50,40,5,49
100,10,35,80,60,4,60
90,50,35,50,45,4,60
100,50,35,20,40,4,60
100,60,33,20,40,4,50
100,37,33,10,40,4,60
100,75,35,10,40,4,50
100,63,35,10,1,4,60
90,50,35,20,1,4,40
100,38,35,10,1,4,60
100,50,34,10,1,4,60
100,49,35,10,1,4,60
100,63,35,10,1,4,40
100,50,33,20,1,5,60
100,50,33,20,1,5,60
100,63,35,20,1,5,60
100,63,33,20,30,5,60
90,50,37,10,30,4,40
100,25,35,20,40,4,60
90,49,35,20,30,5,60
100,25,35,20,30,5,49
100,63,34,20,40,4,60
100,50,33,20,20,5,51
100,37,34,20,30,4,51
100,50,33,20,30,4,51
100,63,33,20,30,4,51
100,69,33,20,30,4,51
100,50,33,20,30,5,51
100,25,40,20,30,4,51
100,50,35,20,30,4,51
100,63,35,20,40,4,51
100,63,35,20,40,5,51
100,25,33,20,40,4,51
100,50,35,20,40,4,51
120,67,33,20,30,4,51
100,50,33,20,40,4,51
100,63,33,20,30,5,60
100,37,35,20,52,4,51
100,63,35,20,51,6,51
100,49,35,20,55,4,51
100,49,35,20,52,4,51
90,50,33,20,51,5,51
100,50,35,20,55,4,51
90,50,35,20,55,4,51
100,49,33,20,52,5,51
100,49,35,20,52,5,51
100,63,35,20,52,4,51
100,37,38,20,51,4,51
100,50,35,20,55,4,51
120,37,35,20,55,4,51
100,50,35,20,55,4,51
100,50,34,20,52,5,51
100,60,35,20,55,4,51
100,37,33,20,51,4,51
100,63,35,20,55,4,51
90,50,35,20,55,4,51
100,50,35,20,55,4,51
100,50,35,20,52,5,51
120,63,35,20,45,4,50
100,67,37,20,45,4,51
100,95,40,20,30,5,51
100,69,45,20,48,4,51
100,63,45,20,45,4,51
100,37,40,20,40,4,51
100,10,45,20,42,5,51
100,50,45,20,40,4,51
100,63,45,20,45,4,51
100,63,45,20,40,8,51
100,37,40,20,30,5,51
120,50,45,20,45,4,40
100,50,45,20,40,6,40
100,50,45,20,30,5,40
100,49,45,20,38,4,50
100,37,40,20,33,4,40
90,49,45,20,40,4,50
90,25,45,20,40,4,40
120,50,40,20,30,4,40
100,50,40,20,40,5,40
100,63,45,20,1,4,40
100,37,45,20,1,5,40
100,50,40,20,1,4,40
100,50,45,20,1,4,40
100,50,45,20,1,4,40
100,69,40,20,1,4,40
120,50,40,20,1,4,40
100,63,45,20,1,5,40
120,63,45,20,1,4,40
100,50,40,20,1,4,40
100,49,30,20,1,4,40
100,37,40,50,1,4,40
100,25,30,30,1,5,40
100,25,40,40,1,5,40
100,25,20,30,1,5,40
100,49,20,50,1,4,40
100,40,40,30,1,5,40
100,33,30,30,1,4,40
100,24,20,33,1,4,40
100,25,40,33,1,4,40
100,34,30,33,1,5,40
100,25,40,33,1,4,40
90,25,40,33,1,6,40
90,49,30,33,1,5,40
100,49,30,33,1,4,40
100,24,40,33,1,4,40
100,49,30,33,1,5,40
90,37,30,33,1,4,40
100,40,40,33,1,6,40
90,24,30,33,1,8,40
100,49,30,33,1,4,40
120,45,40,33,1,5,40
100,25,20,35,1,4,40
100,37,40,33,1,4,40
100,25,30,33,1,4,40
100,24,30,33,1,4,40
100,40,40,33,1,4,40
100,25,30,33,1,5,40
120,37,30,33,1,5,40
100,20,30,33,1,4,50
100,24,20,35,1,4,40
120,40,40,33,1,5,40
100,24,30,33,1,4,50
100,49,30,33,1,5,40
100,25,30,33,1,4,40
100,24,40,33,1,4,40
100,24,30,33,1,4,40
90,25,30,33,1,4,40
100,49,30,33,1,4,50
100,40,40,33,1,4,50
100,24,10,33,1,4,50
100,24,10,33,1,4,40
100,33,20,33,1,4,50
90,25,5,33,1,4,49
100,24,20,33,1,4,50
90,25,20,33,1,4,40
100,25,20,33,1,5,50
90,24,15,33,1,5,50
90,33,20,33,1,5,49
100,24,20,33,1,5,40
120,25,20,35,40,4,50
100,24,20,33,40,4,40
100,49,20,33,45,4,49
100,49,15,33,40,5,50
100,40,30,33,40,4,50
100,40,30,33,40,4,49
90,37,20,33,40,4,40
100,49,30,33,40,4,40
100,37,20,33,40,4,40
100,25,20,33,40,6,50
100,37,10,33,40,4,50
120,40,15,33,40,4,50
120,30,30,35,30,5,50
120,24,20,33,30,4,50
100,40,30,35,40,4,50
100,49,20,33,90,4,50
120,25,20,33,60,4,50
100,25,10,33,60,5,50
120,37,30,30,90,5,49
120,24,10,40,50,4,40
110,25,30,30,90,4,50
120,25,10,30,90,4,50
120,24,5,40,50,5,49
100,25,20,40,60,4,49
120,25,20,40,70,4,40
120,25,20,40,90,14,50
100,24,15,40,60,14,40
120,25,30,50,80,12,50
120,37,20,50,90,12,49
120,37,30,40,70,12,40
120,24,20,40,50,14,50
120,25,20,50,60,14,40
100,37,18,40,90,14,40
100,25,20,40,50,14,50
120,40,15,30,90,12,60
120,33,20,50,50,12,50
120,25,20,33,80,14,60
100,25,20,30,50,14,50
100,34,20,50,50,14,50
120,40,20,20,80,14,50
100,34,20,20,50,12,40
120,40,30,20,60,12,60
120,24,20,10,30,14,40
120,49,20,10,40,12,50
120,24,15,10,30,14,50
120,34,10,10,40,14,60
100,49,20,10,30,14,50
100,49,20,20,40,12,50
120,24,20,20,30,14,60
120,33,10,20,40,14,60
120,25,10,10,40,12,50
120,25,20,10,30,14,50
120,25,10,20,40,14,60
120,25,20,20,40,14,40
100,25,10,10,30,12,40
120,49,10,40,40,14,50
120,25,45,30,40,14,60
120,40,5,50,40,14,50
120,24,5,40,40,14,60
120,25,2,30,40,12,40
100,49,10,50,30,12,60
100,37,10,5,30,12,49
120,40,5,5,30,14,50
100,49,5,5,40,14,40
120,49,5,10,30,14,40
120,25,5,5,30,14,40
100,49,5,5,30,12,50
120,25,5,5,30,14,40
120,25,5,5,40,14,40
120,24,1,5,1,14,40
120,24,5,5,1,12,40
100,25,5,5,1,14,50
120,24,10,10,1,14,40
100,25,2,5,1,14,40
100,38,5,5,1,12,50
120,35,5,40,1,14,50
100,49,5,40,1,14,50
100,25,5,40,1,12,50
120,25,5,50,1,14,40
120,25,10,50,1,14,40
100,49,5,20,1,14,40
120,25,10,10,1,14,50
120,40,10,10,1,14,50
120,49,5,20,1,14,40
120,37,5,10,1,14,40
120,24,5,20,1,12,50
120,25,5,10,1,14,50
120,49,2,20,1,14,50
120,40,70,10,1,14,40
120,25,60,20,1,14,40
120,40,40,20,1,14,40
120,49,40,10,40,14,50
120,25,40,20,30,14,50
120,40,60,10,40,14,40
120,37,60,20,40,12,50
100,40,40,10,40,12,40
120,24,40,20,40,12,50
120,30,40,20,30,14,40
120,25,40,10,40,14,50
120,24,40,20,40,12,50
120,25,40,10,30,14,40
120,33,70,10,40,12,50
120,40,40,20,40,14,40
120,25,40,10,40,15,50
120,49,45,20,40,12,99
120,33,40,20,40,12,99
120,24,45,20,40,10,99
120,25,40,20,40,8,99
120,25,60,50,40,12,99
100,25,45,50,60,15,99
120,37,52,50,60,15,99
120,25,55,30,60,12,99
120,37,60,50,60,12,99
100,25,55,50,60,10,99
120,24,40,50,60,15,99
120,30,45,33,60,12,99
120,34,40,50,60,15,99
100,25,40,50,60,12,99
100,25,40,50,60,15,99
120,25,40,10,70,10,99
120,24,55,5,60,8,95
100,25,40,5,70,15,99
120,24,40,10,60,12,98
120,49,40,10,60,12,99
120,25,45,10,60,12,99
120,24,40,10,60,12,99
100,49,45,5,60,12,99
120,25,45,10,70,12,99
120,49,48,5,60,12,99
120,25,40,5,60,10,40
100,25,45,5,60,12,40
100,25,55,5,70,15,40
120,49,45,5,60,12,40
100,30,58,10,60,8,40
100,25,40,10,60,10,40
120,49,45,10,60,12,40
100,25,45,1,60,12,40
120,25,42,1,60,12,40
120,40,45,1,60,8,40
120,40,40,1,60,10,40
100,25,60,1,60,15,40
120,24,45,1,60,12,40
120,25,40,1,60,8,40
100,24,40,1,60,10,40
120,32,45,60,40,15,40
120,24,40,50,60,12,40
120,24,45,50,60,1,40
100,25,40,40,70,4,40
120,34,45,50,60,0,40
100,25,45,98,60,5,49
120,100,45,95,60,0,40
120,100,45,90,60,2,45
100,100,45,98,60,2,50
100,100,40,95,60,5,40
120,100,40,98,60,5,40
100,100,40,98,60,2,40
100,100,40,98,60,5,40
120,100,45,90,60,1,40
120,100,45,70,60,5,40
100,100,48,80,60,5,40
100,100,45,80,60,5,40
120,100,45,60,60,0,40
120,100,45,80,60,5,40
120,100,45,80,90,4,50
120,100,55,60,80,0,40
120,100,40,60,85,0,40
120,100,20,60,80,4,40
120,100,58,60,90,5,40
120,100,60,60,70,1,40
120,100,58,33,85,0,49
100,100,40,30,85,1,40
120,100,10,30,80,5,40
100,100,10,30,80,1,40
110,100,10,30,80,5,40
120,100,2,33,55,4,40
120,100,20,50,40,0,40
120,100,20,30,30,5,40
120,100,20,50,40,1,40
120,100,2,50,45,4,50
120,100,20,90,40,5,40
120,100,20,90,35,1,40
120,100,20,80,99,4,50
100,100,30,90,90,1,40
120,100,52,5,99,5,40
120,100,45,10,50,5,40
120,100,58,5,90,5,40
120,100,45,10,80,0,50
120,100,48,5,50,5,40
120,100,52,5,99,5,40
100,100,40,5,99,4,40
120,100,40,5,99,5,40
120,100,58,5,90,4,40
120,100,48,10,90,5,40
120,100,48,5,95,4,40
120,100,48,10,99,5,50
120,100,40,5,50,0,40
100,99,0,10,90,5,60
120,100,1,5,50,5,40
120,100,20,10,90,5,40
100,100,90,10,99,5,60
120,100,2,5,90,1,40
120,100,10,10,50,1,40
100,100,60,5,40,5,60
120,100,60,5,40,4,60
100,100,60,45,40,5,60
120,100,70,45,40,5,40
140,100,2,40,40,5,60
120,100,2,42,40,5,70
140,100,2,45,40,5,60
140,100,2,40,40,5,60
140,100,1,40,40,5,70
120,100,5,42,40,5,67
140,100,5,40,40,5,60
140,100,5,45,40,4,60
140,100,1,40,49,5,66
140,100,10,50,40,5,70
140,100,10,50,40,5,60
140,100,10,50,40,4,60
125,100,20,40,40,3,60
140,100,10,40,40,5,40
140,100,10,40,40,1,40
140,100,80,40,30,2,40
140,100,85,40,30,1,40
140,100,85,40,30,5,40
140,100,90,40,30,5,40
120,100,80,30,40,5,40
125,100,80,50,40,5,40
140,100,40,50,40,5,40
130,100,40,30,40,1,40
140,100,45,30,40,2,40
140,100,45,30,40,1,30
140,100,40,30,40,0,40
140,100,40,50,30,1,30
140,100,45,50,30,5,40
120,100,58,50,20,2,40
140,100,55,50,30,4,40
140,100,60,30,20,2,30
140,100,55,30,30,1,40
120,100,55,40,30,1,40
130,100,99,50,20,5,40
50,100,95,50,30,0,40
0,63,55,50,30,0,40
0,50,60,30,30,5,40
0,50,40,40,30,5,30
50,63,40,60,30,5,30
0,63,49,40,30,5,40
50,50,40,50,30,1,40
0,37,10,60,60,5,40
