Responder,Bomb,Investor,Public_Goods,Banker_50,Dictator,Proposer
1,50,1,10,51,45,38
40,50,1,10,50,45,38
40,50,1,10,51,40,40
1,50,1,10,50,40,38
25,50,0,10,51,40,40
30,50,1,10,60,45,40
25,50,1,10,60,45,38
40,50,1,10,51,45,40
1,50,1,10,50,45,40
1,50,1,10,50,45,40
40,50,1,10,60,45,38
1,50,1,10,30,45,40
50,50,1,10,51,45,38
30,50,1,10,60,40,38
40,50,1,10,51,40,40
50,40,1,10,50,45,40
25,50,1,10,100,45,40
1,50,1,10,50,45,40
25,50,1,10,60,45,40
1,37,1,10,50,45,40
1,50,1,10,0,45,40
1,50,1,10,50,45,40
30,50,1,10,50,45,40
50,50,1,10,51,45,38
40,50,10,10,51,45,40
30,50,10,10,51,45,40
1,50,10,10,51,45,40
40,50,10,10,50,45,40
50,50,10,10,51,45,40
50,50,20,10,51,45,38
30,50,10,10,50,45,40
1,50,10,10,50,45,40
25,50,10,10,51,45,38
1,50,10,10,60,40,30
25,37,10,10,60,45,40
25,50,10,10,60,45,38
50,50,10,10,50,45,40
50,50,10,10,50,45,40
25,50,10,10,60,45,40
20,50,10,10,51,40,38
50,50,20,10,0,45,40
1,50,10,10,60,45,40
40,50,10,10,50,45,40
20,50,10,10,0,45,30
1,50,10,10,50,45,40
40,50,10,10,50,45,40
50,50,10,10,51,40,40
20,50,10,10,50,45,40
1,50,10,10,60,45,40
40,50,10,10,60,45,40
40,50,10,10,60,45,40
25,50,10,10,50,45,40
25,50,10,10,51,45,55
20,50,10,10,50,40,55
30,50,10,10,50,45,51
50,33,10,10,50,45,55
20,50,10,10,51,45,55
25,50,10,10,51,45,55
1,50,10,10,51,45,55
50,50,10,10,50,40,55
50,50,10,10,60,40,55
25,50,10,10,51,45,55
1,50,10,10,51,45,55
30,50,10,10,50,45,55
1,50,10,10,51,45,55
25,50,10,10,60,45,55
1,50,10,10,50,40,55
30,50,10,10,51,40,51
1,33,10,10,51,45,55
1,50,10,10,51,45,55
40,33,10,10,51,40,55
50,50,10,10,50,45,55
1,50,10,10,50,45,55
50,50,10,10,60,45,55
25,50,10,10,50,45,55
20,50,10,10,60,45,55
25,33,10,10,50,45,40
40,50,10,10,50,40,55
50,50,10,10,51,45,55
30,50,10,10,51,45,55
1,50,10,10,50,45,50
50,50,10,10,51,45,55
40,50,10,10,50,40,55
50,50,10,10,50,45,55
50,50,10,10,60,45,55
1,50,10,10,60,5,55
50,33,10,10,0,4,55
25,50,10,10,50,5,55
25,50,10,10,50,1,51
1,50,10,10,60,1,55
25,37,10,10,50,10,51
25,50,10,10,50,10,55
50,50,10,10,60,40,51
1,50,10,10,60,5,50
40,50,10,10,50,1,55
50,50,10,10,50,5,55
50,50,10,12,60,1,55
1,50,10,10,60,5,55
30,50,10,10,60,5,51
30,33,10,10,51,20,60
30,50,20,10,50,1,55
50,50,10,10,51,1,55
50,50,10,10,51,1,55
40,50,10,10,60,1,55
1,50,10,10,51,1,55
50,50,10,10,50,10,51
40,50,10,10,51,5,55
25,50,10,10,51,5,51
30,50,10,10,51,1,55
30,50,10,10,100,1,60
20,50,10,10,0,5,55
25,50,10,10,50,5,55
20,50,10,10,60,1,55
40,33,10,10,0,5,55
20,50,10,10,50,5,55
25,50,10,10,51,20,51
20,90,10,10,50,5,55
20,50,10,10,50,5,51
30,67,10,10,50,1,55
20,70,10,10,60,5,55
20,67,10,10,50,1,55
20,68,10,10,60,1,55
20,70,20,10,51,0,55
25,67,10,10,51,0,55
20,80,10,10,60,1,55
20,80,10,10,60,0,55
20,67,10,10,100,1,55
30,70,10,10,60,0,55
30,67,10,10,60,1,55
25,67,10,10,51,1,55
20,70,10,10,50,1,55
30,69,20,10,51,1,55
20,70,10,10,51,1,55
30,67,10,10,50,0,55
20,68,10,10,60,1,51
20,80,10,10,0,1,55
25,90,10,10,51,0,55
30,67,10,10,50,1,51
30,67,10,10,50,1,55
25,70,10,10,51,1,55
20,67,10,10,51,1,55
20,67,10,10,60,1,55
30,70,10,10,51,1,55
20,67,10,10,60,1,55
25,70,10,10,60,1,55
20,80,10,10,50,1,51
20,70,10,10,60,1,55
1,50,10,10,60,1,40
20,67,10,10,60,1,55
25,99,10,10,51,1,55
30,67,10,10,51,1,55
30,67,20,10,50,0,55
30,70,10,10,51,0,55
20,70,10,10,50,1,45
30,60,10,10,51,1,51
20,80,10,10,51,1,55
20,70,10,10,60,1,55
20,70,10,10,51,1,55
20,80,10,10,51,1,45
30,90,10,10,60,1,40
25,70,10,10,51,1,40
20,70,10,10,50,0,50
30,70,10,10,60,1,50
20,67,10,10,51,1,50
25,70,10,10,60,1,40
20,67,10,10,50,1,40
30,90,10,10,50,1,40
25,80,10,10,50,0,45
20,70,10,10,60,1,50
25,67,10,10,0,0,40
20,80,20,10,0,0,40
20,50,10,10,0,1,45
30,66,10,10,50,0,40
20,90,10,10,51,1,40
20,90,10,10,50,0,45
20,80,10,10,51,1,40
25,50,10,10,50,1,40
20,80,10,10,51,1,40
25,67,10,10,60,1,20
20,80,10,10,50,0,25
20,80,10,10,50,0,20
25,67,10,10,50,0,20
30,70,10,10,50,1,20
40,70,10,10,60,1,20
40,67,10,10,50,0,20
50,50,10,10,50,1,25
30,70,10,10,51,1,30
30,95,10,10,50,1,30
30,67,10,10,60,1,20
40,67,10,10,51,1,20
1,70,10,10,50,1,20
40,80,10,10,60,1,1
40,67,10,10,60,1,30
30,80,10,10,60,1,20
40,70,10,10,60,1,20
30,67,10,10,60,1,20
40,70,10,10,60,1,20
40,90,20,10,51,0,20
40,67,10,10,60,1,25
30,70,10,10,50,0,20
30,67,10,10,50,1,20
25,67,10,10,50,1,20
45,80,10,10,51,0,20
30,67,10,10,0,0,1
30,70,10,10,50,0,20
45,90,10,10,50,0,20
30,50,10,10,51,0,1
30,67,10,10,60,0,20
30,67,10,10,0,0,25
30,67,10,10,51,0,20
30,99,20,10,51,0,20
25,67,10,10,60,0,1
40,70,10,10,50,0,30
40,67,10,10,60,0,20
30,80,10,10,51,0,20
50,67,10,10,50,0,20
30,70,10,10,60,0,20
40,67,10,10,51,0,20
40,50,10,10,50,0,25
45,50,10,10,51,0,20
40,50,10,10,50,0,1
30,50,10,10,51,0,25
30,50,40,10,60,0,20
40,50,50,10,50,0,25
40,50,50,10,51,0,25
30,51,50,10,60,0,20
30,50,50,10,50,0,20
30,50,60,10,60,0,30
30,99,50,10,50,0,20
40,50,50,10,60,0,20
30,50,50,10,100,0,25
40,50,50,10,100,0,20
25,50,50,10,100,0,20
40,37,50,10,100,0,25
40,50,50,10,100,0,40
30,50,50,10,80,0,25
40,50,20,10,100,0,40
30,50,20,10,100,0,50
30,50,30,10,100,0,50
40,50,20,10,100,0,50
30,50,20,10,100,0,50
40,50,30,10,100,0,50
30,50,20,10,100,0,50
45,50,20,10,100,0,50
40,50,20,10,100,0,50
30,50,20,10,100,0,50
30,50,20,10,100,0,50
40,50,20,10,100,0,50
50,50,20,10,100,0,50
40,50,35,10,100,0,50
30,36,35,10,100,0,50
30,50,35,10,100,0,50
50,50,35,10,100,0,50
30,50,35,10,80,0,50
30,50,35,10,100,0,50
30,50,35,10,100,0,50
40,50,35,10,100,0,50
25,50,35,10,100,0,50
30,50,35,10,100,0,50
40,50,35,10,100,0,50
40,50,35,10,100,0,50
40,50,35,10,100,0,50
25,50,35,10,100,0,50
30,50,35,10,100,0,50
40,50,35,10,100,0,50
30,50,35,10,100,0,50
20,50,35,10,100,0,50
50,50,35,10,100,0,50
40,50,35,10,100,0,50
40,50,34,10,100,0,50
30,50,34,10,100,0,50
40,50,100,10,80,0,50
40,50,100,10,100,0,50
40,50,100,10,100,0,50
30,50,100,10,100,0,50
40,50,100,10,100,0,50
40,50,100,10,100,0,50
30,50,100,10,100,0,50
40,50,80,10,100,0,50
40,50,100,10,75,0,50
50,50,100,10,100,0,50
40,50,100,10,100,0,50
25,50,100,10,100,0,50
50,50,100,10,100,0,50
45,50,100,10,100,0,50
40,50,100,10,100,0,50
25,50,100,10,100,0,50
30,50,100,10,100,0,50
50,50,100,10,100,0,50
40,50,100,10,100,0,50
25,50,100,10,100,0,50
40,50,100,10,100,0,50
40,50,100,10,100,0,50
40,50,100,10,100,0,50
40,50,100,15,100,0,50
40,50,100,15,100,0,55
40,50,100,15,100,0,60
50,50,100,15,100,0,60
45,50,100,15,100,0,55
30,50,80,10,100,0,50
40,50,90,15,100,0,50
20,50,100,15,100,0,55
30,50,100,15,100,0,50
25,50,80,15,100,0,50
40,50,80,15,100,0,60
20,50,80,15,100,0,55
20,50,100,20,100,0,60
25,50,100,20,75,0,55
25,50,100,15,100,0,60
25,50,100,16,100,0,60
20,50,100,15,100,0,55
25,50,100,10,100,0,60
20,50,100,20,100,0,55
20,50,100,20,100,0,90
25,50,100,20,100,0,90
20,50,80,10,100,0,80
20,50,100,15,100,0,95
25,50,80,12,100,0,90
1,50,100,10,80,0,80
20,50,100,20,100,0,90
1,50,100,10,100,0,80
1,50,100,15,100,0,95
20,50,100,15,75,0,80
25,50,100,20,100,0,95
25,50,100,20,100,0,95
20,50,100,15,100,0,80
20,50,100,10,100,0,80
25,50,100,15,100,0,80
20,50,100,15,100,0,95
25,50,80,20,100,0,90
20,50,100,20,100,0,80
1,50,100,20,100,0,80
25,50,100,20,100,0,80
20,50,100,20,100,0,80
20,50,100,20,100,0,90
20,50,100,20,100,0,80
25,50,100,20,100,0,90
20,50,80,15,100,0,90
20,50,100,15,100,0,90
25,50,100,20,100,0,95
25,50,100,15,100,0,90
20,50,100,20,100,0,80
25,50,100,15,100,0,80
25,50,100,20,100,0,60
1,50,100,20,100,0,60
30,50,100,15,100,0,45
30,50,100,10,100,0,45
20,50,100,15,100,0,50
20,1,80,10,100,0,55
25,1,100,15,100,0,55
25,1,100,20,100,0,60
25,1,100,15,100,0,55
20,1,100,20,100,0,55
20,50,100,10,100,0,50
20,1,100,15,100,0,50
25,1,100,15,100,0,50
20,1,80,20,100,0,50
20,1,80,20,100,0,45
25,1,100,15,100,0,50
1,1,80,20,100,0,45
20,1,100,20,100,0,60
20,1,100,20,100,0,60
20,50,100,12,100,0,60
20,10,100,15,100,0,50
20,1,100,20,100,0,99
20,1,100,20,75,0,100
20,5,100,15,100,0,100
1,50,100,15,100,0,100
25,50,100,20,90,0,99
20,50,100,15,100,0,100
20,50,80,20,100,0,100
20,50,80,15,100,0,100
25,50,100,20,100,0,99
25,98,100,20,100,0,100
20,50,80,15,100,0,99
20,50,80,20,100,0,99
25,50,80,15,100,0,100
25,50,100,15,100,0,100
1,50,100,15,80,0,100
25,50,100,15,100,0,100
40,50,100,15,100,0,100
25,99,100,20,100,0,100
20,50,100,15,100,0,99
20,50,100,15,100,0,99
25,50,80,15,100,0,100
25,50,100,15,75,0,99
25,50,100,16,100,0,100
20,50,100,15,100,0,99
20,50,100,16,100,0,100
20,50,100,20,80,0,100
20,50,100,15,100,0,100
1,50,100,20,100,0,99
1,50,100,20,75,0,100
1,50,100,15,100,0,99
20,50,100,15,100,0,99
25,50,100,15,100,0,100
25,50,100,15,100,0,99
20,50,80,15,100,0,99
25,50,100,20,100,0,99
1,50,100,20,100,0,99
1,50,100,15,100,0,100
25,50,100,15,100,0,99
20,50,100,20,100,0,100
25,50,100,20,100,0,100
20,50,90,15,80,0,1
1,50,80,15,100,0,1
25,50,100,20,100,0,1
20,50,100,10,100,0,1
1,50,100,20,100,0,1
25,50,100,12,100,0,1
25,50,50,12,80,0,1
20,50,60,10,100,0,1
25,50,50,15,100,0,1
20,50,50,15,100,0,1
20,50,50,20,100,0,45
1,50,60,20,100,0,50
25,50,50,15,75,0,40
25,50,60,16,100,0,40
20,50,60,15,100,0,40
25,50,50,10,100,0,40
25,50,50,15,80,0,40
1,50,50,15,100,0,50
1,50,60,20,100,0,50
20,50,50,15,100,0,40
20,50,80,15,100,0,40
25,50,60,20,75,0,40
20,50,70,20,100,0,40
25,50,80,15,100,0,40
20,50,60,15,100,0,40
25,50,60,15,100,0,40
20,50,60,15,100,0,50
25,50,50,20,100,0,40
20,50,80,15,100,0,40
25,50,50,20,100,1,40
1,50,50,20,100,5,50
20,50,50,15,100,5,40
20,50,60,20,100,4,45
20,50,50,15,100,20,45
25,50,50,20,100,5,40
20,50,80,15,100,5,45
20,50,60,20,100,5,40
25,50,50,20,100,10,45
25,50,80,20,100,20,40
1,50,80,15,100,5,40
25,50,50,20,100,5,40
25,50,50,20,100,5,40
20,50,50,20,100,5,50
20,50,50,20,90,20,40
20,50,50,20,100,1,50
20,50,60,20,100,5,40
20,99,60,20,100,5,40
25,50,50,20,100,5,40
20,99,60,20,100,5,40
20,50,50,20,100,5,50
20,50,60,20,100,5,40
20,50,50,20,100,5,40
1,50,50,20,100,10,40
20,99,50,20,100,5,40
25,50,60,20,100,10,40
25,50,60,20,75,5,40
20,50,60,20,100,5,50
20,50,1,20,100,5,40
20,50,1,20,100,5,50
1,50,1,0,100,10,55
25,50,1,20,100,5,40
25,50,1,20,100,1,50
25,50,1,20,100,5,40
1,50,1,20,100,5,45
1,50,1,20,100,1,40
20,50,1,20,100,5,40
1,50,1,20,100,5,40
25,50,1,20,100,5,40
50,50,80,20,80,5,45
1,50,90,20,100,10,50
25,50,80,20,100,1,50
25,50,80,20,100,5,40
20,30,80,20,100,5,40
20,37,80,20,100,5,50
20,50,80,20,100,5,40
20,40,80,20,100,5,40
20,37,80,20,100,5,40
25,50,80,20,100,5,40
20,37,90,20,100,5,45
25,50,80,20,100,5,40
25,37,80,20,100,5,40
25,50,80,20,100,5,50
25,37,80,20,100,1,40
20,50,80,20,100,5,50
20,30,80,10,100,45,50
20,37,80,15,100,40,40
25,40,80,15,100,45,50
1,50,90,12,100,45,40
25,50,80,10,75,45,40
20,33,80,10,100,45,40
25,37,80,10,110,40,45
1,37,80,10,100,40,50
25,33,80,10,100,40,40
20,30,80,10,100,45,40
20,30,80,10,100,40,40
20,50,80,10,100,40,50
25,40,80,10,100,45,40
20,30,100,15,100,40,50
25,37,80,12,100,45,50
25,40,100,15,90,45,50
20,37,100,15,100,40,50
20,37,80,10,100,40,40
20,50,100,10,100,45,40
20,37,100,10,100,40,50
40,33,1,15,100,40,40
20,50,0,12,100,45,40
1,33,0,15,100,40,40
25,37,0,10,100,45,50
20,37,1,10,100,45,40
20,33,0,15,100,40,40
20,37,0,10,100,40,40
20,50,0,15,100,45,50
20,37,0,10,100,45,45
20,33,0,10,100,45,40
20,30,0,10,100,45,50
25,33,1,12,100,45,40
20,37,0,10,100,45,40
20,50,0,10,100,45,50
20,33,0,10,100,45,50
20,37,0,15,100,45,40
20,45,0,10,100,45,50
1,49,0,15,100,45,50
1,49,0,15,100,45,50
25,69,0,10,100,45,40
25,37,0,12,100,45,50
1,50,0,10,100,45,40
25,49,0,10,100,45,40
20,50,0,10,100,45,40
20,49,0,10,100,45,50
25,49,0,10,100,40,50
20,50,0,12,100,45,40
50,49,0,10,100,5,50
50,37,0,10,100,5,45
50,49,0,10,100,5,40
51,49,0,12,100,20,40
50,49,0,15,100,5,40
51,50,0,0,100,10,50
50,37,1,0,100,5,50
60,49,1,0,100,5,50
50,48,1,0,100,10,40
50,50,1,0,100,10,50
50,49,1,0,100,5,50
50,49,1,0,100,10,50
50,50,1,0,100,10,40
50,50,1,0,100,5,50
50,50,1,0,100,5,40
50,50,1,0,75,5,50
50,49,1,0,100,10,40
50,49,1,0,100,5,50
50,49,1,0,75,1,45
50,50,1,0,100,10,50
50,49,1,0,100,5,40
50,50,0,0,100,20,55
51,37,0,0,100,5,50
51,69,0,0,100,5,50
50,37,0,0,100,10,40
50,69,0,0,100,10,40
51,49,0,0,100,10,40
50,50,0,0,100,5,50
50,37,0,0,100,1,40
50,49,0,0,100,20,40
50,49,0,0,100,20,50
50,99,0,0,100,5,40
51,50,0,0,100,5,40
50,50,0,0,75,10,50
51,50,0,0,100,5,40
50,50,0,0,100,10,40
50,50,0,0,100,5,40
51,50,0,0,100,10,40
51,50,0,0,100,5,40
51,50,0,0,100,10,40
60,50,0,0,100,5,40
50,50,0,0,100,5,50
50,50,0,0,100,5,50
50,50,0,0,100,10,40
50,50,0,0,100,10,40
50,50,0,0,100,5,40
51,50,0,0,100,5,50
50,50,0,0,100,1,40
50,50,0,0,100,5,50
50,50,0,0,100,20,40
50,50,0,0,100,5,50
50,50,0,0,100,1,40
50,50,0,0,100,5,45
50,50,0,0,100,5,40
50,50,0,0,105,5,50
50,50,0,0,100,5,40
50,50,0,0,100,5,40
60,50,0,0,100,1,50
50,50,0,0,100,20,50
50,50,0,0,50,5,45
50,50,100,0,50,5,50
50,50,100,0,0,5,50
50,50,100,0,50,5,1
50,50,100,0,0,1,1
60,50,100,0,0,5,10
50,50,100,0,0,5,10
50,50,100,0,0,10,1
51,50,100,0,0,10,20
1,50,100,0,0,5,1
1,50,100,0,120,20,20
1,50,100,0,120,10,1
1,50,100,0,120,10,1
1,50,100,0,120,10,20
1,50,100,0,120,5,1
1,50,100,0,120,5,1
1,50,100,0,150,5,1
1,50,100,0,100,20,1
1,50,100,0,120,20,1
1,50,50,0,150,5,20
1,50,40,0,150,5,1
1,50,33,0,120,10,20
1,50,60,0,120,10,1
1,50,33,0,120,20,20
1,50,60,0,120,10,15
1,50,60,0,120,20,1
1,50,60,0,0,5,1
1,50,33,0,0,20,1
1,50,40,0,0,5,20
1,50,60,0,0,5,1
1,50,40,0,0,5,20
1,50,40,0,0,5,20
1,50,20,0,0,5,20
1,50,20,0,0,5,1
1,50,20,0,0,5,20
1,50,20,0,0,5,15
1,50,20,0,0,5,1
1,50,20,0,0,5,20
1,50,20,0,0,10,1
1,50,20,0,0,20,1
1,50,10,0,0,20,20
1,50,20,0,0,10,1
1,50,20,0,0,5,1
1,50,80,0,0,20,1
1,50,80,0,0,20,1
1,50,80,0,0,20,0
1,50,80,0,0,5,0
1,50,80,0,0,20,1
1,50,100,0,0,5,0
1,50,80,0,0,20,1
1,50,80,0,0,10,0
1,50,80,0,0,20,30
1,50,80,0,0,10,40
1,50,1,0,0,20,40
1,50,1,0,0,10,40
1,50,5,5,0,10,40
1,50,1,1,0,20,25
1,50,1,1,0,25,40
1,50,1,1,0,20,1
1,50,50,5,0,20,20
1,50,40,5,0,20,1
1,50,50,5,75,20,21
1,50,50,1,75,20,20
1,50,40,5,100,1,100
1,50,33,1,80,55,100
1,50,50,1,75,52,100
1,50,50,5,0,52,100
1,50,50,1,0,55,100
1,50,40,1,0,95,100
1,50,40,1,0,95,100
1,50,50,1,0,95,25
1,50,50,1,0,95,25
1,50,40,1,0,95,30
1,50,1,1,0,95,20
1,0,1,5,0,95,20
1,0,1,1,0,95,20
1,0,50,1,0,95,20
1,0,40,1,0,20,20
1,0,50,5,75,20,20
1,0,40,1,75,20,20
1,0,50,5,75,20,20
1,0,50,1,75,20,20
1,0,20,5,75,20,20
1,0,50,1,75,20,20
1,0,50,5,75,20,20
1,0,1,1,75,20,20
1,0,1,5,75,20,20
1,0,1,1,75,20,100
1,0,1,0,75,20,90
1,0,0,0,75,20,25
1,0,0,0,120,20,25
40,0,0,0,150,20,20
25,0,0,1,150,20,20
25,0,0,0,100,20,25
25,0,0,0,100,20,20
40,0,0,0,150,20,20
30,0,10,0,150,20,30
30,0,10,0,100,20,20
40,0,10,0,100,20,20
1,0,10,1,100,20,20
1,0,10,1,100,20,25
1,0,10,0,100,20,20
51,0,30,0,100,20,25
1,0,50,20,120,20,25
1,0,50,15,150,20,20
1,0,50,18,100,20,20
1,0,50,18,100,20,100
51,0,0,15,150,20,100
1,0,0,16,100,20,100
1,0,0,18,100,45,100
1,0,0,16,100,45,100
1,0,0,10,150,49,30
1,0,0,10,100,45,30
51,0,0,10,100,49,1
1,0,0,10,100,40,1
1,0,0,10,150,40,1
50,10,0,10,150,45,1
51,10,0,10,0,45,1
51,30,0,10,0,1,1
51,30,0,10,0,55,1
1,50,0,10,0,50,1
51,10,0,10,0,55,1
1,1,100,12,0,60,1
1,0,100,10,0,50,1
1,0,80,10,0,50,1
1,0,100,10,0,55,1
1,0,100,15,0,50,1
1,0,100,10,0,45,100
1,0,100,10,0,45,100
1,0,80,10,0,95,100
1,99,100,10,0,80,100
1,50,90,10,0,80,100
1,50,80,5,0,80,99
1,50,80,1,0,80,100
1,50,70,5,0,5,25
1,50,80,5,0,5,1
1,50,80,10,0,80,25
50,50,40,5,0,55,25
1,50,30,5,0,55,25
1,50,40,5,0,55,25
40,50,40,1,0,1,20
1,50,40,5,0,5,1
1,50,99,0,0,50,20
1,0,100,5,0,50,100
1,0,99,5,0,50,100
1,0,100,5,0,50,100
1,0,99,0,0,51,100
1,0,0,20,0,51,100
1,0,1,20,0,1,100
1,0,1,20,0,49,55
45,0,1,20,0,49,55
45,0,80,5,0,49,55
45,0,80,10,100,49,99
45,0,60,0,100,1,50
