GB,EM
62,41
56,46
49,37
47,42
46,42
48,39
50,40
50,45
56,37
49,49
49,47
49,44
48,31
48,42
49,42
45,41
50,40
49,46
46,40
49,38
49,40
49,42
49,48
49,39
55,43
50,39
46,31
50,42
51,49
49,41
52,44
53,35
50,42
49,44
51,43
56,44
48,44
56,34
47,42
49,39
55,47
46,38
49,45
49,31
46,40
52,41
49,44
46,43
49,37
38,36
46,34
38,42
50,45
49,44
53,41
49,41
55,38
49,41
49,52
48,42
44,45
49,40
56,42
50,43
46,42
37,42
56,42
56,41
54,40
49,41
47,38
50,41
42,39
47,43
61,34
48,41
44,44
47,44
45,46
56,37
57,42
66,42
49,36
50,39
47,41
46,44
56,31
49,40
47,40
49,44
47,32
49,44
56,41
50,41
49,38
49,42
47,40
50,33
49,32
49,41
49,41
48,36
47,38
59,44
49,34
48,42
56,44
49,42
48,42
50,53
50,45
49,41
48,41
52,45
49,37
46,46
49,41
47,37
49,39
49,43
49,45
49,44
57,35
51,43
39,36
47,49
48,41
46,39
48,39
47,31
44,44
48,41
53,42
46,34
55,43
45,45
46,40
37,37
49,40
49,30
53,43
49,46
55,44
46,31
56,33
48,32
48,31
54,40
45,43
45,46
47,30
48,40
47,43
53,26
46,43
49,46
46,46
55,34
53,41
44,46
47,46
53,41
48,40
48,42
53,42
56,44
56,43
56,40
56,33
62,31
44,41
54,35
47,42
53,44
59,42
52,39
44,42
56,39
55,40
47,44
59,44
46,40
49,53
50,41
47,42
50,47
46,40
53,41
45,46
67,46
67,32
68,34
68,42
69,41
68,38
69,44
67,43
77,35
59,34
69,40
67,40
70,39
68,46
67,44
69,44
67,42
69,34
68,39
67,40
69,41
69,39
71,42
68,41
69,34
69,42
68,42
69,35
56,70
64,76
65,70
57,69
65,65
65,71
61,67
65,69
61,68
62,71
65,67
10,68
8,69
8,64
47,67
47,68
44,69
46,67
42,68
50,69
44,68
50,76
48,68
46,67
45,68
45,69
47,68
46,76
46,69
51,75
45,15
46,25
46,19
43,21
44,19
47,22
48,19
44,19
42,18
45,21
43,19
51,18
47,20
46,20
41,19
42,12
39,20
42,18
41,18
41,14
40,16
41,18
41,18
41,20
42,15
42,15
31,18
44,20
42,16
44,21
3,21
6,70
7,73
7,68
5,69
9,72
8,67
6,70
10,71
8,68
8,64
6,68
7,67
9,68
5,67
9,68
8,73
15,68
7,68
7,70
1,68
7,69
9,57
5,57
4,55
9,54
17,53
7,54
10,54
4,53
6,62
6,59
5,57
10,56
9,55
9,61
8,55
7,56
10,56
7,56
5,56
4,62
8,56
10,52
8,56
12,46
17,56
15,55
23,52
28,61
25,56
21,60
22,56
18,61
28,59
16,54
18,9
21,10
15,6
25,7
22,5
21,9
23,9
17,9
24,11
28,11
21,7
20,6
18,8
20,8
18,8
18,7
19,9
28,3
18,7
22,9
18,9
18,10
19,9
32,11
24,11
20,11
20,10
19,4
25,7
22,12
20,6
27,6
22,15
21,11
20,6
18,7
17,9
16,6
18,9
22,7
21,5
21,9
13,6
17,6
22,9
21,4
17,9
26,9
23,5
22,14
33,11
22,5
16,9
17,6
26,6
16,8
47,10
44,4
45,9
41,6
47,4
64,8
0,85
9,78
14,94
6,82
17,71
20,77
17,84
13,82
14,74
19,71
48,85
43,85
27,79
31,80
30,83
26,85
33,73
28,73
25,68
28,68
28,67
25,62
31,56
43,67
55,67
59,63
55,64
56,59
53,64
78,73
79,57
70,66
77,69
74,68
83,68
78,70
78,63
86,68
82,97
81,98
73,97
78,79
78,78
74,78
82,80
69,64
68,63
68,64
68,63
66,66
71,66
63,63
70,69
64,63
27,68
19,63
28,64
24,70
62,68
64,65
63,65
59,66
53,62
51,61
56,68
61,62
62,71
64,69
51,68
49,67
42,64
47,65
13,71
9,65
5,74
9,63
9,69
4,65
7,63
17,69
98,68
66,68
66,70
4,69
1,76
23,72
3,67
96,68
